lon,lat,temp_c,temp_k,frame,hour,minute,time_str,category,wind_mph,center_lon,center_lat,min_temp_c
-79.88385850192729,31.790497647712556,22.645905,295.7959,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-91.43160412462728,31.97313608872899,17.05365,290.20364,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-85.3967428417761,31.837992633508208,18.589966,291.73996,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-79.55352922413468,31.764544683958654,21.048126,294.19812,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-91.87161397724067,31.961836804150217,15.14859,288.29858,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-85.81995951215924,31.822151915412007,18.344177,291.49417,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-79.9687128623715,31.744562642640293,21.109558,294.25955,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-93.09331929793277,31.973738567388047,16.131836,289.28183,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-86.9885105742038,31.821080505363895,16.50058,289.65057,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-81.10925418724095,31.73188322257236,21.908447,295.05844,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-75.33771558615084,31.700560452891928,-2.0583496,271.09164,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-88.85007644053957,31.83782445638518,16.193298,289.3433,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-82.91647699382344,31.729860699054466,21.478271,294.62827,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-77.12452327886685,31.680980615019607,20.495026,293.64502,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-91.06153231301491,31.86937834746248,15.025696,288.1757,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-85.04878080787292,31.73863201789864,19.388885,292.53888,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-79.21994367473653,31.668882902089187,21.478271,294.62827,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-93.31374124130014,31.909951389911956,16.746368,289.89636,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-87.20381561974062,31.75534101263036,16.623474,289.77347,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-81.3237448302324,31.664227979434493,21.908447,295.05844,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-75.55512073384416,31.630897650695633,10.601044,283.75104,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-89.38751315424948,31.780286560033932,16.193298,289.3433,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-83.44087358962993,31.667126724600614,20.556488,293.70648,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-77.64573525047011,31.61325924376427,21.048126,294.19812,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-91.60642248195207,31.81386230345631,17.975433,291.12543,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-85.57653852388381,31.67776072017102,19.204498,292.3545,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-79.74111219111062,31.60299300748332,21.662659,294.81265,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-93.8917546313648,31.857295090835414,19.81903,292.96902,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
-87.75898627087257,31.696851454810737,17.791077,290.94107,4,14,0,14:00,4,140,-85.34983086012292,23.41782501856442,-79.67388916015625
